Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
8602,431,28.7,7.0,122,703,388,3,0.5,38.7,1,154,8,42,2,0,12,1,36,11
149027,328,10.1,2.0,3,761,690,47.1,12.2,15.5,8,8990,17,279,5,0,3,1,109,194
218505,89,4.9,3.0,11,160,852,8.5,4.5,4.8,1,13411,67,166,4,0,2,0,108,310
246163,253,5.6,1.0,0,40,1109,46.7,6,5.7,3,116,65,58,3,0,4,1,65,44
216813,196,3.5,2.0,8,606,17,38,0.7,3.7,0,92,1,15,0,0,0,0,2,2
241731,195,3.1,1.0,0,45,29,38.6,1.1,3.9,0,13,0,22,1,0,0,0,5,0
266743,242,8.1,1.0,0,333,374,32.1,9.6,12.1,13,4683,41,69,5,1,5,0,64,119
81356,302,9.5,1.0,0,318,202,45.7,2.8,9,2,389,3,32,2,0,6,0,55,117
246712,186,13.3,2.0,0,622,587,15.9,5.5,3.4,6,1857,110,92,2,0,2,0,57,76
143152,305,1.8,0.0,0,24,1627,66.4,8.5,7.9,4,298,101,53,3,0,6,1,91,64
245525,410,4.4,1.0,0,120,417,82.5,3.2,8.3,4,4600,115,72,5,1,6,0,52,253
158950,226,11.1,2.0,0,852,322,26.6,9.2,7.2,5,682,23,76,2,0,1,0,21,25
53069,352,5.6,3.0,12,320,1436,71,7.3,7.2,5,1583,102,41,2,0,7,1,86,48
216669,214,15.3,9.0,36,80,235,19.1,2.2,3.6,3,632,10,42,0,0,2,0,20,35
104808,349,8.6,2.0,2,265,270,59.5,1.6,8.2,3,575,4,134,4,0,4,0,54,156
16510,358,22,3.0,0,642,1227,37.2,10.7,10,5,1178,201,102,3,0,6,1,81,125
245938,306,3.7,1.0,< 1,47,1242,52.5,13.4,18.2,4,644,14,94,6,1,6,0,119,313
278215,212,8.5,1.0,0,386,354,30.9,7,6.4,2,1249,51,86,4,0,1,1,47,79
276153,251,22.6,3.0,0,124,274,10.2,3,3,1,240,14,56,1,0,1,0,50,87
169587,438,11.1,2.0,0,751,1809,78.6,6.2,9.5,3,193,25,77,5,0,6,1,104,60
261356,302,13,2.0,0,444,180,41.3,1.4,5.4,2,828,59,68,3,0,4,0,38,129
222787,379,20.8,9.0,37,696,561,35.9,6.6,14.6,3,1034,10,181,3,0,3,1,60,90
212727,485,8.3,2.0,0,118,433,93.4,5.2,10.2,4,5041,21,61,2,0,2,0,31,36
265912,42,4.1,3.0,11,107,16,1.1,0.2,0.1,0,177,4,4,0,0,0,0,2,1
52232,487,14.5,2.0,0,898,1400,81.7,9.7,9,10,1503,40,61,3,0,8,1,93,66
21459,362,13.4,9.0,15,693,1335,44.9,18.3,21,6,12196,16,216,12,0,6,1,187,502
212722,474,30.4,11.0,179,1141,819,12.9,2.6,38.1,5,781,10,159,3,0,19,1,74,37
263123,448,32.5,20.0,0,201,1021,33,10.5,12.5,7,3362,75,101,6,0,3,0,79,107
86828,349,20.5,6.0,120,618,437,5.4,1.1,34.2,3,840,2,112,3,0,14,0,42,15
240337,456,27.9,16.0,182,761,606,10.4,2.1,40.7,5,1797,6,209,3,0,24,1,63,20
17449,134,5.4,1.0,57,547,363,6.9,1.6,14.7,3,139,9,50,2,0,8,0,32,18
215055,368,10,2.0,59,200,1383,41.6,6.3,27.5,8,1377,36,71,3,0,14,1,84,69
256164,195,9.4,3.0,11,773,711,16.3,5.7,14.6,5,12276,20,212,3,0,5,0,98,168
212487,544,25,8.0,43,429,539,64.3,4.8,16.5,8,963,71,92,2,0,7,0,42,45
212366,224,5.5,1.0,3,35,789,34.2,8.6,11.3,3,579,10,67,4,0,3,0,76,192
212449,185,9.1,4.0,16,100,508,18.9,1.3,8.4,14,1159,111,263,1,0,2,0,48,41
239939,176,12.6,11.0,0,52,656,16,3.5,3.5,4,11364,41,77,3,0,2,0,48,32
20350,330,3,1.0,0,667,1143,57.1,14.5,21.1,6,347,9,129,6,1,6,0,169,543
212882,228,4.1,1.0,0,641,1384,44.3,9.2,7.5,9,651,112,79,3,0,5,1,75,130
75409,147,2.8,1.0,65,1966,266,3,0.3,24,1,832,7,27,1,0,15,0,25,14
80683,234,9.2,2.0,44,182,693,19.8,3.2,18.8,4,936,29,68,2,0,12,1,49,33
35909,220,15.4,4.0,36,172,277,7.2,0.5,13.3,7,628,1,18,1,0,6,0,16,3
24782,492,28.4,14.0,149,666,950,19,3.7,35.8,10,2441,23,159,3,0,23,1,80,28
68473,399,27.5,10.0,95,528,528,13.5,2,25.4,5,736,7,120,2,0,15,1,67,25
45040,652,33.9,6.0,6,375,1161,78.8,10,13.4,11,5541,82,202,4,1,9,1,93,160
22765,185,5.2,1.0,0,868,481,25,9.7,11.1,3,110,3,32,4,0,3,0,47,220
103915,141,7.3,1.0,0,408,497,17.8,3.7,2.8,2,145,39,32,1,0,2,0,29,42
17288,41,4.6,1.0,0,388,< 1,0,0,0,0,0,0,0,0,0,0,0,0,0
147210,119,2.8,0.0,0,4,132,21.2,2.4,2.9,1,116,2,23,1,0,2,0,37,11
233531,127,0.7,0.0,0,221,152,27.2,4.6,5.1,0,3,0,14,1,0,4,0,52,16
280310,102,2.7,1.0,6,264,24,15.5,0.5,3.4,1,0,0,66,1,0,2,0,4,38
14565,52,3.7,2.0,22,363,23,4.1,0.1,0.8,4,125,0,8,0,0,0,0,2,14
85469,110,3,0.0,0,234,62,18.2,1.8,2.9,0,1,0,7,1,0,2,0,19,28
213233,400,18.6,4.0,9,183,416,53.1,8.2,9.3,1,246,4,35,3,0,7,0,93,31
17225,119,1.9,0.0,0,98,138,22.8,4,4.4,0,0,0,11,1,0,3,0,46,14
279560,252,5.3,3.0,26,424,86,42.7,1.5,7.6,2,147,0,18,3,0,6,0,16,122
246324,322,8.7,2.0,5,245,163,51.3,1.7,8.5,4,119,0,117,3,1,5,0,22,117
7021,237,9.3,5.0,23,393,76,33.3,1.3,4.9,1,268,0,27,2,0,4,0,14,92
20034,102,1.4,0.0,0,49,22,20.1,0.6,2.2,4,0,0,3,1,0,2,0,5,38
15074,314,8.9,5.0,22,494,126,50,2,7.7,2,266,0,63,3,1,4,0,18,125
210477,177,2.5,0.0,0,10,326,29.9,5.6,9.1,1,52,1,43,3,0,2,0,54,113
273411,359,2.9,0.0,0,96,1051,76.1,12.1,12.3,3,965,87,53,4,0,9,1,130,59
137637,440,15.5,10.0,27,666,288,66.3,5,10.3,9,396,5,56,4,1,8,0,35,158
213686,629,36.7,11.0,0,71,215,69,4.1,6.7,1,1333,6,28,1,0,4,0,50,10
262554,113,11.2,7.0,0,684,30,4,0.9,0.6,1,0,0,36,0,0,1,0,2,35
143271,139,5.8,1.0,< 1,123,171,18.9,1.7,4,10,94,4,103,1,0,1,0,27,10
